no.,recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,timing,img_src,meal_category,flavor_type,simple_ingredients
1,Smoked Salmon Poke Bowl,15 mins,,45 mins,4,4 servings,"¼ cup soy sauce, 3  green onions, thinly sliced, 1 tablespoon black sesame oil, 1 tablespoon rice vinegar, 1 teaspoon grated ginger, ½ teaspoon garlic, minced, 12 ounces smoked salmon, chopped, 2 cups cooked brown rice, ¼ cup diced mango, ¼ cup diced cucumber, ¼ cup diced avocado, ¼ cup sliced fresh strawberries, 1 teaspoon black sesame seeds, or to taste","Combine soy sauce, green onions, sesame oil, rice vinegar, ginger, and garlic in a bowl. Mix until thoroughly combined. Add salmon and marinate in the refrigerator for 30 minutes to 1 hour.
Divide brown rice among 4 serving bowls. Top with salmon, mango, cucumber, avocado, and strawberries. Sprinkle black sesame seeds on top.",5,https://www.allrecipes.com/recipe/268086/smoked-salmon-poke-bowl/,"Prep Time: 15 mins, Additional Time: 30 mins, Total Time: 45 mins, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/BZBEDb0DOp_ndtGUngCGMfw7PKo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5761440-61f53bc30c6b4a3184e064734f636a62.jpg,Dinner,Sour,"Soy sauce, Onion, Black sesame oil, Rice vinegar, Ginger, Garlic, Salmon, Brown rice, Mango, Cucumber, Avocado, Strawberry, Black sesame seed"
2,Risotto with Fresh Figs and Prosciutto,10 mins,20 mins,30 mins,4,4 servings,"4 cups vegetable broth, 6 tablespoons butter, divided, 1 tablespoon extra-virgin olive oil, 1  green onion, finely chopped, 1 (12 ounce) package Arborio rice, ½ cup dry white wine, 14  small fresh figs, divided, 4 thin slices  prosciutto, finely chopped, 1 cup grated Pecorino-Romano cheese, or to taste","Heat vegetable stock in a large pot and keep warm over low heat.
Heat 2 tablespoons butter and 1 tablespoon olive oil in a large, heavy-bottomed saucepan over medium-low heat. Add green onion; cook and stir until softened, about 1 minute. Pour in rice and stir until coated in butter and oil and starting to toast, 2 to 3 minutes. Increase heat and pour in wine. Simmer until alcohol has evaporated and the wine is mostly absorbed. Reduce heat to medium and stir in 1 ladle of boiling broth. Continue stirring until the rice has absorbed the liquid and turned creamy. Once the liquid has been fully absorbed, add the next ladle. Repeat this process, stirring constantly until all liquid has been used or rice is tender yet firm to the bite (al dente). Stirring in the broth should take 12 to 15 minutes in all.
Meanwhile, chop 10 figs. Melt 2 tablespoons butter in a medium skillet and cook chopped figs until soft and coated in butter, 4 to 5 minutes. Crush figs gently with a wooden spoon while cooking. Stir in prosciutto. Add fig-prosciutto mixture to the risotto when there are about 5 minutes left to cook.
Remove risotto from heat; stir in remaining 2 tablespoons butter and grated Pecorino romano cheese. Let stand for a few minutes.
Divide risotto evenly onto 4 plates, garnishing each with a whole fig before serving.",5,https://www.allrecipes.com/recipe/266191/risotto-with-fresh-figs-and-prosciutto/,"Prep Time: 10 mins, Cook Time: 20 mins, Total Time: 30 mins, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/fToQciXsEtySc6jOQSyWAM0R2KI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5573419-ca11bf31d4f241d49f3b76b16a3d6f18.jpg,Dinner,Light,"Broth, Butter, Olive oil, Onion, Rice, Fig, Cheese"
3,Apricot-Glazed Pork Ribs,10 mins,1 hrs 40 mins,9 hrs 50 mins,12,12 servings,"3 ½ pounds baby back pork ribs, 1 (16 ounce) jar apricot preserves, ⅓ cup soy sauce, ¼ cup packed light brown sugar, 2 teaspoons garlic powder,   aluminum foil,   salt and ground black pepper to taste","Place ribs in a large roasting pan. Whisk together apricot preserves, soy sauce, brown sugar, and garlic powder until blended. Pour apricot marinade over ribs, cover, and place in the refrigerator, 8 hours to overnight.
Preheat the oven to 325 degrees F (165 degrees C). Line a baking pan with aluminum foil.
Remove ribs from the marinade and shake off excess. Place ribs in the prepared baking pan and season with salt and pepper. Pour marinade into a small saucepan and bring to a boil. Reduce heat and simmer marinade for 5 minutes; set aside.
Bake ribs in the preheated oven, basting frequently with the cooked marinade, until ribs are tender and meat pulls away easily from the bone, about 1 hour 30 minutes. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).",5,https://www.allrecipes.com/recipe/275587/apricot-glazed-pork-ribs/,"Prep Time: 10 mins, Cook Time: 1 hrs 40 mins, Additional Time: 8 hrs, Total Time: 9 hrs 50 mins, Servings: 12, Yield: 12 servings",https://www.allrecipes.com/thmb/L372UIIxxoHx5Ej3oO6UkC_VcRM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7058079-8bd5f288c34249aba74cc7d2f380ee30.jpg,Dinner,Light,"Pork, Apricot, Soy sauce, Brown sugar, Garlic powder, Salt, Black pepper"
4,Grilled Honey-Nectarine Ricotta Toast,10 mins,10 mins,25 mins,2,2 servings,"1 teaspoon olive oil, 1 large nectarine, pitted and cut into 8 wedges, 2 thick slices crusty bread, 2 tablespoons olive oil, ¼ cup whole-milk ricotta cheese, 1 tablespoon crushed sliced almonds, 2 leaves fresh mint, minced, 2 teaspoons honey, or to taste","Preheat an outdoor grill for medium-high heat and lightly oil grate.
Drizzle 1 teaspoon olive oil onto a small plate. Place nectarine wedges on the plate and cover all sides with oil. Brush both sides of bread with 2 tablespoons olive oil.
Place nectarines onto the hot grate and grill 1 to 2 minutes per side; remove to a plate. When nectarine wedges have cooled slightly, cut each wedge in 1/2 lengthwise so you now have 16 pieces.
Place bread slices onto the hot grate and cook until grill marks appear and bread is toasted, about 1 minute per side; remove to a plate.
Spread ricotta cheese onto each slice of toast. Arrange 8 nectarine slices onto each toast and top with almonds. Sprinkle with mint and drizzle with honey. Cut each toast in half and serve.",5,https://www.allrecipes.com/recipe/275175/grilled-honey-nectarine-ricotta-toast/,"Prep Time: 10 mins, Cook Time: 10 mins, Additional Time: 5 mins, Total Time: 25 mins, Servings: 2, Yield: 2 servings",https://www.allrecipes.com/thmb/vK_jBo_mfLADTskNAsFtJNQqk04=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6906566-dbdbf45fb41a4fe4b6cb0da3f7207a89.jpg,Dinner,Light,"Olive oil, Nectarine, Bread, Cheese, Almond, Mint, Honey"
5,Delish Black Mission Figs!,10 mins,5 mins,15 mins,4,4 servings,"8  Black Mission figs, cut in half, ¼ cup crumbled goat cheese, or as needed, 3 slices prosciutto, trimmed of all fat and cut into strips, 2 tablespoons honey, or to taste","Set oven rack about 6 inches from the heat source and preheat the oven's broiler.
Arrange fig halves, cut sides up, on a baking sheet. Top each fig half with goat cheese; lay prosciutto strips atop goat cheese layer.
Broil figs in the preheated oven until prosciutto is crisp and goat cheese is melted, 3 to 5 minutes.
Transfer the warm figs to a serving platter and drizzle with honey.",5,https://www.allrecipes.com/recipe/228558/delish-black-mission-figs/,"Prep Time: 10 mins, Cook Time: 5 mins, Total Time: 15 mins, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/N5YxrAeVHtWddBpjMg4kncWt4hM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5706941-eb534b038f40492e864cf79f5ca77cb4.jpg,Dinner,Light,"Fig, Cheese, Honey"
6,Fresh Figs and Chicken Thighs in Shallot-Balsamic Reduction,15 mins,30 mins,45 mins,8,8 chicken thighs,"8  skinless, boneless chicken thighs,   salt and ground black pepper to taste, 3 tablespoons extra-virgin olive oil, 10  fresh figs, stemmed and quartered, 1 ½ cups chicken broth, ¼ cup balsamic vinegar, 1 large shallot, sliced lengthwise, 1 tablespoon minced fresh rosemary,   fresh rosemary, for garnish","Pat chicken thighs dry and season both sides with salt and pepper.
Heat olive oil in a large skillet over medium-high heat until shimmering. Add chicken thighs and cook, 3 to 4 minutes on each side. Add figs, chicken broth, balsamic vinegar, and shallot. Bring contents to a boil, cover, reduce heat, and let simmer until chicken thighs are no longer pink in the centers and an instant-read thermometer inserted into the centers reads at least 165 degrees F (74 degrees C), about 8 minutes. Transfer thighs to a serving plate and keep warm.
Remove figs from the skillet using a slotted spoon and place them around the chicken on the plate.
Add minced rosemary to the skillet contents, increase heat to medium-high, and allow contents to come to a full boil to create a the reduction. Continue to boil, stirring often, until liquid reduces to approximately 1 cup, 8 to 10 minutes. Drizzle balsamic reduction over chicken and figs and garnish with rosemary sprigs. Serve warm.",5,https://www.allrecipes.com/recipe/275369/fresh-figs-and-chicken-thighs-in-shallot-balsamic-reduction/,"Prep Time: 15 mins, Cook Time: 30 mins, Total Time: 45 mins, Servings: 8, Yield: 8 chicken thighs",https://www.allrecipes.com/thmb/rpmo9fIx0U53w0ejoYITut_4h3M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6929317-71ec6b563147403284926b0dad9e5c8c.jpg,Dinner,Sour,"Chicken, Salt, Black pepper, Olive oil, Fig, Vinegar, Onion, Rosemary"
7,Spicy Air Fryer Pork Chops with Apricot Glaze,15 mins,15 mins,3 hrs,4,4 servings,"4 cups water, 2 tablespoons kosher salt, 2 tablespoons white sugar, 4 (5 ounce) bone-in center loin pork chops, about 3/4-inch thick, 1 teaspoon chili powder, or to taste, 1 teaspoon onion powder, ½ teaspoon salt, ¼ teaspoon white pepper","Combine water, salt, and sugar in a bowl and stir until the crystals are dissolved. Add pork chops, cover, and refrigerate for at least 2 hours, or up to 4 hours.
Remove pork chops from the brine and shake off excess. Discard the remaining brine. Pat chops dry with paper towels and place on a plate or cutting board.
Combine chili powder, onion powder, salt, and white pepper in a small bowl. Distribute 1/2 of the rub mixture among the 4 chops and rub to coat the entire surface. Turn the chops and repeat. Allow chops to come to room temperature, about 30 minutes.
Meanwhile, combine apricot all-fruit spread, hoisin sauce, ginger, garlic, chili-garlic sauce, and lime juice for the glaze in a medium, microwave-safe bowl.
Microwave mixture on high for 3 minutes, stirring halfway through. Carefully remove glaze and set aside.
Preheat air fryer to 400 degrees F (200 degrees C) if recommended by manufacturer. Spray each side of seasoned and rubbed chops with cooking spray.
Place chops in the air fryer in a single layer and air-fry for 8 minutes, turning halfway through.
Brush the tops of the chops with prepared glaze and air-fry until pork chops are no longer pink in the center, 2 to 3 minutes. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).
Sprinkle chops with minced parsley, and serve with remaining glaze.",5,https://www.allrecipes.com/recipe/285573/spicy-air-fryer-pork-chops-with-apricot-glaze/,"Prep Time: 15 mins, Cook Time: 15 mins, Additional Time: 2 hrs 30 mins, Total Time: 3 hrs, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/HlfwiiXjZb13qYNaI_MYNWoo5Q4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9399833-7332c084d1c94b31ad3883d0a91edd83.jpg,Dinner,Spicy,"Water, Salt, Sugar, Pork, Chili powder, Onion powder, Pepper"
8,Avocado Toast with Egg,5 mins,5 mins,10 mins,2,2 servings,"1 teaspoon butter, 2  eggs, 2 slices multigrain bread, 1  ripe avocado, pitted, peeled, 1 teaspoon lemon juice, or to taste, 1 pinch cayenne pepper,   sea salt to taste,   ground black pepper to taste","Melt butter in a skillet over medium-low heat. Crack eggs into the skillet side by side and cook until eggs are white on the bottom layer and firm enough to flip, 2 to 3 minutes. Flip eggs, trying not to crack the yolk, and cook until egg reaches desired doneness, 2 to 5 minutes more.
Meanwhile, toast bread slices to desired doneness, 3 to 5 minutes.
Mash avocado in a bowl; stir in lemon juice, cayenne pepper, and sea salt. Spread avocado mixture onto toast. Top with fried egg and season with sea salt and pepper.",4.9,https://www.allrecipes.com/recipe/265304/avocado-toast-with-egg/,"Prep Time: 5 mins, Cook Time: 5 mins, Total Time: 10 mins, Servings: 2, Yield: 2 servings",https://www.allrecipes.com/thmb/7-Tno2yJIb9B01pj87eGbAlC1Vo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6274187-98cf86c35b0d4f0bb69dad283ac7a8db.jpg,Dinner,Spicy,"Butter, Egg, Bread, Avocado, Lemon, Salt, Black pepper"
9,Slow Cooker Chicken Tagine,15 mins,5 hrs,5 hrs 15 mins,8,8 servings,"8  skinless, boneless chicken thighs, 2 large onions, thinly sliced, 4 large carrots, thinly sliced, ½ cup raisins, ½ cup dried apricots, chopped, 2 cups chicken broth, 2 tablespoons tomato paste, 2 tablespoons lemon juice, 2 tablespoons all-purpose flour, 2 teaspoons garlic salt, 2 teaspoons ground cumin, 1 ½ teaspoons ground ginger, 1 teaspoon ground cinnamon, 1 teaspoon Hungarian paprika, 1 teaspoon ground black pepper, 3 cups water, 2 cups couscous , 1 tablespoon butter","Layer chicken thighs, onions, carrots, raisins, and apricots in a slow cooker.
Whisk chicken broth, tomato paste, lemon juice, flour, garlic salt, cumin, ginger, cinnamon, paprika, and pepper together in a bowl. Pour over chicken and vegetables.
Cook on High 4 1/2 hours or on Low for 7 1/2 hours. Shred chicken slightly using 2 forks. Continue cooking 30 minutes.
Bring 3 cups water to a boil in a saucepan; remove from heat and stir in couscous and butter. Cover saucepan and let stand until water is absorbed completely, 5 to 10 minutes. Fluff couscous with a fork. Serve chicken tagine over couscous.",4.9,https://www.allrecipes.com/recipe/257106/slow-cooker-chicken-tagine/,"Prep Time: 15 mins, Cook Time: 5 hrs, Total Time: 5 hrs 15 mins, Servings: 8, Yield: 8 servings",https://www.allrecipes.com/thmb/0do5jsAsoXEA6uaTCWqLcS4U5Ik=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6259376-9f9152a84c184f2f8a23357113d435b9.jpg,Dinner,Sour,"Chicken, Onion, Carrot, Raisin, Apricot, Tomato, Lemon, Flour, Salt, Cumin, Ginger, Cinnamon, Paprika, Black pepper, Water,Butter"
10,Stuffed Leg of Lamb with Balsamic-Fig-Basil Sauce,50 mins,1 hrs,2 hrs,6,1 lamb roast,"½ cup coarsely chopped prunes, ¼ cup currants, 2 tablespoons creme de cassis liqueur, 1 ½ tablespoons minced fresh rosemary, 1 ½ tablespoons minced fresh thyme, ½ teaspoon ground coriander, 1 ¼ teaspoons salt, 1 teaspoon freshly ground black pepper, 1 (4 pound) boneless leg of lamb, rolled and tied, ½ cup chopped roasted and salted almonds, 2 tablespoons chopped fresh mint, 3 cloves garlic, cut into thirds, 2 tablespoons olive oil, ½ cup balsamic vinegar, 5 tablespoons butter, 3 tablespoons honey, ⅓ cup thinly sliced, stemmed Calimyrna figs, 5 teaspoons chopped fresh basil, 6 leaves mint, 6 leaves basil","Preheat oven to 400 degrees F (200 degrees C).
Combine the chopped prunes and currants with the creme de cassis in a small bowl, and set aside. In another small bowl, combine the rosemary, thyme, coriander, salt, and pepper; set aside.
Untie and unroll the lamb, lay it out flat on the work surface. Trim off excess fat, and cut any thick parts open so that it is evenly thick and somewhat rectangular in shape. Sprinkle half of the herb mixture over the lamb. Mix the almonds and chopped mint into the prune mixture; spread evenly over the lamb. Roll up starting at one of the short sides, and tie with kitchen twine in 1-inch intervals. Cut 9 slits about 1-inch deep into the top of the lamb, and insert a slice of garlic in each. Rub with olive oil, and sprinkle with the remaining herb mixture.
Place lamb seam-side up on a rack set in a roasting pan. Roast in the preheated oven to desired doneness. For medium-rare, a thermometer inserted into the center will read 140 degrees F (60 degrees C). Remove lamb from the oven and cover with foil. Allow to rest for 15 minutes while proceeding with the recipe.
While the lamb is resting, bring the balsamic vinegar to a boil in a small saucepan over high heat. Boil until the vinegar has reduced by half, 4 to 5 minutes. Once reduced, stir in the butter, honey, and sliced figs. Stir until the butter has melted, then remove from the heat, stir in the chopped basil and set aside.
To serve, remove the twine from the lamb and cut into 1/2 inch thick slices. Arrange on a warm serving platter and drizzle with the fig sauce, garnish with mint and basil leaves.









",4.8,https://www.allrecipes.com/recipe/112260/stuffed-leg-of-lamb-with-balsamic-fig-basil-sauce/,"Prep Time: 50 mins, Cook Time: 1 hrs, Additional Time: 10 mins, Total Time: 2 hrs, Servings: 6, Yield: 1 lamb roast",https://www.allrecipes.com/thmb/Ldbc-dwMKsu_egoSmhOIGlvNNcI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/601260-696275d25a7e45cab54defc0b25fd76d.jpg,Dinner,Sour,"Lamb,Rosemary, Coriander, Salt, Black pepper, Almond, Mint, Garlic, Olive oil, Butter, Honey, Fig"
11,Apricot and Cranberry Stuffed Roast Pork Loin With Port Wine Pan Sauce,,,,16,16 servings,"3 tablespoons olive oil, 16  whole peeled garlic cloves, 2 tablespoons minced garlic cloves , 1 (8 pound) whole boneless pork loin, patted dry, at room temperature,   Salt and freshly ground pepper, 3 tablespoons minced fresh rosemary (snip with scissors), divided, 16  dried apricots (or similar amount of your favorite dried fruit), ⅓ cup dried cranberries","Adjust oven rack to upper-middle position and heat oven to 250 degrees. Heat oil in a small skillet over medium-low heat. Add whole garlic cloves and cook, stirring occasionally, until soft and golden, about 5 minutes. Remove with a slotted spoon; reserve oil.
Turn pork loin fat-side down. Slit lengthwise, almost but not quite all the way through, to form a long pocket, leaving a 1/2-inch border of unslit meat at each end. Brush cavity with some of the reserved garlic cooking oil, and sprinkle generously with salt and pepper and 1 Tb. of the rosemary. Line cavity with sauteed garlic and apricots; sprinkle in cranberries. Tie loin together with kitchen twine or heavy-duty string at 1 1/2-inch intervals.
Brush with remaining oil, and sprinkle generously with salt and pepper. Set roast, fat-side up, diagonally or curved (so it fits) on a large, lipped cookie sheet or jellyroll pan. Warm 1/4 cup apple jelly along with the minced garlic and remaining rosemary. Brush mixture onto meat.
Roast until a meat thermometer stuck into the center registers 125 to 130 degrees. (Start checking at about 1 1/2 hours.) Remove from oven; raise oven temperature to 400 degrees. Brush loin with pan drippings, return to oven, and continue to roast until the loin is golden brown and a meat thermometer stuck into the center registers 145 degrees F (63 degrees C), about 20 minutes longer. For even more attractive coloring, broil until spotty brown, 3 to 5 minutes.
Let roast rest 15 to 20 minutes; transfer to a carving board. Stir juices around pan to loosen brown bits. Pour through a strainer into a small pan, and stir in port, chicken broth and remaining 2 Tbs. of jelly; bring to a simmer. Mix cornstarch with a couple of tablespoons of cold water; whisk into sauce. Simmer until lightly thickened. Slice pork and serve with a little sauce.",4.8,https://www.allrecipes.com/recipe/77008/rosemary-scented-pork-loin-stuffed-with-roasted-garlic-dried-apricots-and-cranberries-and-port-wine-pan-sauce/,"Servings: 16, Yield: 16 servings",https://www.allrecipes.com/thmb/dIR6ucsjvAsO1nhn5IBXi2gBdXI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4478513-59bcab83e74a49c0a91f50db4b74f8d3.jpg,Dinner,Light,"Olive oil, Garlic, Pork, Salt, Black pepper, Rosemary, Apricot, Cranberry"
12,Apricot Chicken Curry,30 mins,40 mins,1 hrs 10 mins,4,4 servings,"8  chicken drumsticks,   salt and pepper to taste, 2 tablespoons olive oil, 3 cloves garlic, minced, ½ teaspoon red pepper flakes, or to taste, 4 cups apricot nectar, 1 teaspoon cornstarch, or as needed, 1 tablespoon water, 3 tablespoons Madras curry powder, 1 cup dried apricots, 1 large onion, roughly chopped, 1 large green bell pepper, roughly chopped, 4  carrots, thinly sliced, 1  fresh green chile pepper, minced (Optional), ½ cup chopped water chestnuts (Optional)","Preheat an oven to 350 degrees F (175 degrees C). Season the chicken drumsticks with salt and pepper.
Heat olive oil in a large oven-safe skillet over medium heat. Stir in garlic and red pepper flakes; cook and stir until garlic is softened and is fragrant, 1 to 2 minutes. Place the drumsticks in the skillet, and brown the chicken on all sides, about 3 minutes on each side. Transfer the skillet to the oven.
Bake the chicken drumsticks in the preheated oven until no longer pink at the bone and the juices run clear, 7 to 10 minutes.
Bring the apricot nectar to a boil in a large pot over medium-high eat, then reduce heat to medium-low. Mix cornstarch and water together in a small bowl; stir cornstarch mixture and curry powder into the apricot nectar. Add dried apricots. Transfer the baked drumsticks into the apricot mixture.
Heat the skillet used to cook the chicken over medium heat. Stir in the onion, green bell pepper, carrots, and green chile pepper; cook and stir until the onion has softened. Pour the drumsticks and apricot sauce into the skillet. Cover and simmer until the vegetables are tender, about 10 minutes. Season with salt and pepper. Stir in water chestnuts just before serving.",4.8,https://www.allrecipes.com/recipe/215207/apricot-chicken-curry/,"Prep Time: 30 mins, Cook Time: 40 mins, Total Time: 1 hrs 10 mins, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/Xdc1VE5-_4moy7X-Sc1_IzAWqVU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8181230-b6c66196ca7243b6ae45b770a2e0e065.jpg,Dinner,Light,"Chicken, Salt, Black pepper, Olive oil, Garlic, Chili, Apricot, Cornstarch, Onion, Capsicum, Carrot"
13,Meyer Lemon Avocado Toast,10 mins,3 mins,13 mins,2,2 servings,"2 slices whole grain bread, ½  avocado, 2 tablespoons chopped fresh cilantro, or more to taste, 1 teaspoon Meyer lemon juice, or to taste, ¼ teaspoon Meyer lemon zest, 1 pinch cayenne pepper, 1 pinch fine sea salt, ¼ teaspoon chia seeds","Toast bread slices to desired doneness, 3 to 5 minutes.
Mash avocado in a bowl; stir in cilantro, Meyer lemon juice, Meyer lemon zest, cayenne pepper, and sea salt. Spread avocado mixture onto toast and top with chia seeds.",4.8,https://www.allrecipes.com/recipe/257457/meyer-lemon-avocado-toast/,"Prep Time: 10 mins, Cook Time: 3 mins, Total Time: 13 mins, Servings: 2, Yield: 2 servings",https://www.allrecipes.com/thmb/W7qxZ1EaZNXan2kpORUQXBg6x8g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4487253-e6669e70d4114beb857b6aeac7814444.jpg,Dinner,Spicy,"Bread, Avocado, Lemon, Salt, Chia seed"
14,Lamb Braised in Pomegranate,15 mins,2 hrs 30 mins,2 hrs 45 mins,6,,"3 pounds lamb shoulder blade chops,   salt and freshly ground pepper to taste, 1 tablespoon vegetable oil, 1  onion, sliced, 1 pinch salt, 4 cloves garlic, sliced, 2 cups pomegranate juice, ⅓ cup aged balsamic vinegar, 8  fresh mint leaves, ¼ teaspoon dried rosemary, ¼ teaspoon red pepper flakes, 1 tablespoon honey, or more to taste, 2 tablespoons pomegranate seeds, 1 tablespoon sliced fresh mint leaves, 1 tablespoon pumpkin seeds","Preheat the oven to 300 degrees F (150 degrees C).
Generously season lamb chops with salt and black pepper.
Heat vegetable oil in a Dutch oven over high heat. Place lamb chops in Dutch oven and cook until browned on all sides, about 8 minutes. Transfer lamb to a plate and reduce heat to medium.
Stir onion and a pinch of salt into the Dutch oven; cook until onions are slightly golden, about 3 minutes. Stir in garlic and cook for 30 seconds.
Pour pomegranate juice into the Dutch oven and scrape any browned bits off of the bottom of the pot. Pour in balsamic vinegar, increase heat to high, and bring to a boil.
Stir mint leaves, rosemary, and red pepper flakes into pomegranate juice mixture. Continue to boil until liquid is reduced by half, about 10 minutes. Return lamb and any accumulated juices to the Dutch oven, spoon pomegranate mixture over lamb, and cover.
Cook in the preheated oven until lamb is fork tender, about 2 hours.
Transfer lamb to a plate and set the Dutch oven on the stovetop over high heat. Bring pomegranate mixture to a boil; cook, skimming any fat that accumulates, until liquid is reduced by 1/3, about 5 minutes.
Stir in honey and season with salt and black pepper. Return lamb to the Dutch oven; stir to combine. Garnish with pomegranate seeds, sliced mint leaves, and pumpkin seeds.











Chef John/Allrecipes
",4.8,https://www.allrecipes.com/recipe/222191/lamb-braised-in-pomegranate/,"Prep Time: 15 mins, Cook Time: 2 hrs 30 mins, Total Time: 2 hrs 45 mins, Servings: 6",https://www.allrecipes.com/thmb/SRajaVq5MFb4k8PdYWT2ucGVGQM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3548121-6199f4d67e144fb6a95bb0b1fb2f64c9.jpg,Dinner,Sour,"Lamb, Salt, Black pepper, Oil, Onion, Garlic, Pomegranate, Vinegar, Mint, Rosemary, Honey, Pumpkin "
15,Avocado Breakfast Sandwich,10 mins,6 mins,16 mins,1,,"1 tablespoon olive oil, 2  large eggs,   salt and ground black pepper to taste, 1 tablespoon butter, softened, 2 slices Italian bread, 1 ounce Swiss cheese, sliced, 1 ounce Cheddar cheese, sliced, ½  ripe avocado, sliced","Heat olive oil in a skillet over medium heat. Crack eggs into skillet; cook for 1 to 2 minutes. Flip and cook egg until done, 2 to 5 minutes more. Transfer eggs to a plate and season with salt and pepper.
Spread butter onto 1 side of each bread slice.
Heat a skillet over medium heat. Lay bread slices in the hot skillet, butter-side down. Quickly layer Swiss cheese, 1 fried egg, Cheddar cheese, 1 fried egg, avocado, and remaining bread slice, butter-side up. Carefully flip sandwich to grill other side until golden brown, 3 to 4 minutes.
Remove sandwich from skillet and cut in half.











Buckwheat Queen
",4.8,https://www.allrecipes.com/recipe/258099/avocado-breakfast-sandwich/,"Prep Time: 10 mins, Cook Time: 6 mins, Total Time: 16 mins, Servings: 1",https://www.allrecipes.com/thmb/MZUW_0Ni_5meg_r5LJlr7E0S1vY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4520479-avocado-breakfast-sandwich-Buckwheat-Queen-1x1-1-0c41845d9017421a86e742a0d19302d2.jpg,Dinner,Light,"Olive oil, Egg, Salt, Black pepper, Butter, Bread, Cheese, Avocado"
16,Grilled Macadamia-Crusted Tuna with Papaya Salsa,45 mins,5 mins,50 mins,4,4 tuna steaks,"2 cups diced papaya, ½  red onion, diced, 1  red bell pepper, diced, ¼ cup chopped fresh cilantro, 2 tablespoons lime juice, 1 clove garlic, minced, ¼ teaspoon hot chile paste, or to taste, 4 (6 ounce) tuna steaks, ¼ cup extra-virgin olive oil,   salt and pepper to taste, 3  eggs, ½ cup chopped macadamia nuts","Combine the papaya, onion, and red pepper in a bowl. Add the cilantro, lime juice, garlic, and hot chile paste. Toss to combine, then refrigerate until ready to serve.
Preheat an outdoor grill for high heat, and lightly oil grate.
Brush the tuna steaks with olive oil, then season with salt and pepper. Whisk the eggs in a shallow bowl until smooth. Dip the tuna steaks in the egg, and allow excess egg to run off. Press into the macadamia nuts.
Cook the tuna steaks on the preheated grill to your desired degree of doneness, about 2 minutes per side for medium. Serve with the papaya salsa.",4.8,https://www.allrecipes.com/recipe/166163/grilled-macadamia-crusted-tuna-with-papaya-salsa/,"Prep Time: 45 mins, Cook Time: 5 mins, Total Time: 50 mins, Servings: 4, Yield: 4 tuna steaks",https://www.allrecipes.com/thmb/Tf1baaeRtLE_7-1A42-t9bZed7g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1264229-96ea3f2db4824bfe917c2c7bfcce2a54.jpg,Dinner,Sour,"Papaya, Onion, Capsicum, Lime, Garlic, Chili, Tuna, Oil, Salt, Egg, Macadamia"
